"tau_i","T_i","sim_i","template_i"
8,52,0.712445216518815,2
59,54,0.81131687106256,2
156,126,0.844662998943419,1
301,70,0.629960838971534,1
370,82,0.868439088660171,1
451,79,0.823140211938721,1
529,76,0.831172054172539,1
636,76,0.796379137138605,2
711,75,0.817984906709791,1
785,76,0.78715968058664,2
860,77,0.84248404754302,1
978,75,0.808214573026361,1
1085,76,0.798140864601561,1
1160,77,0.822092418563351,2
1236,76,0.834427330134938,1
1311,75,0.816442005723752,1
1385,76,0.811278192243462,1
1460,76,0.825330987859875,1
1535,76,0.831914677104273,1
1610,77,0.767851197042683,1
1686,78,0.840498727097616,2
1763,78,0.824497790477902,1
1840,77,0.818912182550458,2
1916,77,0.871985680432202,1
2036,77,0.843404576344632,1
2145,78,0.833701080707306,1
2222,75,0.777694557943389,1
2339,77,0.812000167720402,1
2449,77,0.806849404383417,1
2525,77,0.799826373448279,1
2601,78,0.832445381133985,1
2678,76,0.79769038154878,1
2753,78,0.798567699149308,1
2830,77,0.822277683603516,1
2947,76,0.810401867581431,1
3055,77,0.793800245237164,2
3131,77,0.796374967537167,1
3207,80,0.820086065088806,1
3286,76,0.795516728135558,1
3361,76,0.807481774576898,1
3436,76,0.802266520142388,1
3511,78,0.820096227464119,1
3588,77,0.815732678833434,1
3664,78,0.767756720392713,1
3741,77,0.804252441245933,1
3817,76,0.823406960838769,1
3892,76,0.799699774031349,1
3967,79,0.818944471598639,1
4088,77,0.799632725457737,1
4198,77,0.80057607980059,1
4274,76,0.799520956520231,1
4349,77,0.78440573920775,1
4425,78,0.818632018608435,1
4502,79,0.80691119338105,1
4623,79,0.809257805583459,1
4701,79,0.825029701170671,1
4814,79,0.80725345103653,1
4936,77,0.83065956537261,1
5046,78,0.814474849980994,1
5123,77,0.802255322758895,1
5199,79,0.803636475397385,1
5277,78,0.80727083050058,1
5354,77,0.79876006712241,1
5430,78,0.812975737253897,1
5507,78,0.788801043929618,1
5584,77,0.804386026329763,1
5660,78,0.800884453998139,1
5781,78,0.804558228628077,1
5858,80,0.796302049091112,1
5937,81,0.814733525045941,1
6017,80,0.800647890996054,1
6096,80,0.81591400290215,1
6209,78,0.813723511189466,1
6286,79,0.845514626869551,1
6364,78,0.802083011522618,1
6485,78,0.781281099888338,1
