"tau_i","T_i","sim_i","template_i"
4,59,7.85767890085839e-09,3
62,55,4.77991261251831e-08,2
142,115,0.860203368055794,2
256,80,0.950283196763392,1
371,81,0.962695005444945,1
451,78,0.974252249634993,1
528,75,0.964385935221755,1
602,75,0.972840427098994,1
676,76,0.975446008314694,1
751,75,0.969568449428339,1
825,77,0.970565893051299,1
901,76,0.972122932745102,1
976,76,0.968795364921139,1
1051,75,0.975416573371149,1
1125,77,0.973810589363105,1
1201,76,0.972633194849888,1
1276,76,0.973266766320729,1
1351,75,0.973877943584726,1
1425,77,0.97851379921154,1
1501,75,0.974662117687859,1
1575,77,0.975972188781397,1
1651,77,0.973881750438533,1
1727,78,0.977791400762082,1
1804,78,0.980214374482892,1
1881,78,0.975446439979194,1
1958,76,0.975492670915481,1
2033,78,0.976006319451158,1
2110,78,0.971633510416335,1
2187,76,0.971699240530337,1
2262,77,0.97520403443915,1
2338,77,0.974342783319232,1
2414,77,0.975559254452704,1
2490,77,0.97527265570868,1
2566,78,0.975848844076675,1
2643,76,0.979737408766717,1
2718,77,0.977203733886204,1
2794,77,0.979699371970737,1
2870,76,0.97520623435486,1
2945,77,0.97247605555743,1
3021,78,0.970775021501811,1
3098,76,0.97103816916745,1
3173,79,0.977914984781757,1
3251,77,0.969902752397573,1
3327,76,0.969778496886404,1
3402,75,0.968510588691046,1
3476,78,0.97334523045019,1
3553,78,0.974828138158741,1
3630,77,0.970936609811467,1
3706,77,0.972809383800732,1
3782,76,0.978529484081217,1
3857,77,0.970246180858514,1
3933,79,0.976524032975866,1
4011,76,0.971060826181363,1
4086,77,0.972253169338406,1
4162,78,0.977103755366248,1
4239,76,0.976806664627784,1
4314,77,0.974168642001768,1
4390,78,0.974252048511079,1
4467,78,0.972312604089278,1
4544,78,0.972773616047707,1
4621,80,0.976070429374512,1
4700,80,0.975385351861384,1
4779,79,0.977584548087262,1
4857,79,0.977025058620826,1
4935,76,0.974919292623637,1
5010,79,0.976275129419143,1
5088,77,0.97442403239034,1
5164,78,0.979039442749797,1
5241,78,0.979187991353015,1
5318,78,0.971280970756824,1
5395,78,0.974446609163905,1
5472,78,0.970539952572038,1
5549,77,0.971691247926086,1
5625,78,0.977586291882783,1
5702,78,0.978721755742987,1
5779,79,0.976326600219157,1
5857,81,0.977763660887527,1
5937,80,0.979684500998206,1
6016,81,0.97627222974696,1
6096,79,0.977749420394539,1
6174,79,0.973787184350791,1
6252,79,0.979739950736391,1
6330,78,0.975348125867282,1
6407,78,0.976251045700081,1
6484,78,0.973635796604983,1
6561,78,0.977390805039332,1
6638,79,0.973733771329397,1
6716,80,0.977669710741773,1
6795,78,0.979797160443093,1
6872,79,0.978828233327183,1
6950,79,0.980421674949247,1
7028,79,0.976720471977131,1
7106,80,0.977743792330524,1
7185,79,0.975374945700194,1
7263,78,0.974069738261307,1
7340,79,0.977391642973563,1
7418,80,0.976652148602545,1
7497,81,0.979571346712917,1
7577,77,0.97626107477938,1
7653,80,0.976297624938896,1
7732,80,0.98170004395102,1
7811,79,0.978558996286962,1
7889,78,0.960032593095696,1
7966,76,0.955628752412259,1
8041,76,0.953993708194801,1
8116,72,0.928846893127039,1
8187,75,0.953720275639211,1
8261,75,0.945912067910801,1
8335,76,0.956292893769984,1
8410,75,0.955625622376823,1
8484,77,0.973702667001842,1
8560,78,0.969891917448994,1
8637,77,0.969789925466304,1
8713,77,0.972927465137718,1
8789,78,0.972168270601915,1
8866,77,0.970001440280061,1
8942,78,0.978032841229668,1
9019,77,0.970153358613625,1
9095,78,0.967470070433449,1
9172,78,0.969270864184839,1
9249,76,0.965602515877089,1
9324,79,0.951840746370098,1
9402,77,0.960276366797685,1
9478,75,0.949065521982471,1
9552,75,0.961381023521542,1
9626,75,0.956118648368686,1
9700,74,0.943662408670684,1
9773,73,0.952725975172656,1
9845,75,0.959697592002088,1
9919,76,0.959974621129174,1
9994,77,0.963985888964392,1
10070,73,0.966589629963659,1
10142,77,0.972430183501217,1
10218,77,0.970531109552312,1
10294,76,0.954895622454959,1
10369,77,0.955099707320715,1
10445,77,0.969245530385216,1
10521,77,0.966507235787348,1
10597,78,0.968879224347095,1
10674,78,0.972782924592194,1
10751,77,0.973016107199922,1
10827,78,0.969828916228219,1
10904,78,0.967941031729096,1
10981,77,0.969765017667271,1
11057,79,0.970996799863352,1
11135,79,0.975086260559958,1
11213,77,0.976659402837662,1
11289,78,0.970116661195766,1
11366,78,0.976653199453896,1
