"acc","tau_i","idx"
5.77035986746061,371,1
5.69791690006093,371,2
5.32374661305363,371,3
4.74057907855148,371,4
3.99284009196462,371,5
2.71715494589469,371,6
1.53245750348909,371,7
1.40971238201273,371,8
2.74379682192396,371,9
1.72197851322251,371,10
1.45092143136698,371,11
1.35086564838995,371,12
1.07945634464762,371,13
0.938290466753233,371,14
0.90795484469218,371,15
0.916686424029504,371,16
1.01494482608662,371,17
1.01756621406177,371,18
1.20068563745886,371,19
1.10723800512808,371,20
1.06080629711555,371,21
1.17145763901218,371,22
1.43845542162418,371,23
1.44836252367976,371,24
1.57835388934168,371,25
1.65769538818204,371,26
1.86241429333003,371,27
1.98733665995472,371,28
2.13232314624215,371,29
2.27521075946823,371,30
2.18167573209219,371,31
2.29828675321423,371,32
2.53541830868202,371,33
2.86698221131558,371,34
3.04025393676252,371,35
3.26366465801865,371,36
2.58263857324249,371,37
1.87150500934408,371,38
1.82600054764504,371,39
1.26321811259972,371,40
0.916910573611189,371,41
1.25597332774227,371,42
1.69048070086588,371,43
2.2779089095045,371,44
2.59378565035741,371,45
2.80631448700961,371,46
3.03746358002857,371,47
3.11557041326304,371,48
3.0495161911359,371,49
2.86197990908392,371,50
2.65196926829856,371,51
2.47423907494809,371,52
2.29326535751971,371,53
2.19606124686904,371,54
2.10502375283511,371,55
1.91437535504404,371,56
1.66160344246153,371,57
1.45071292818393,371,58
1.29794992199237,371,59
1.20877375881511,371,60
1.14042667453896,371,61
1.08077657265505,371,62
1.09811156081702,371,63
1.27654102950121,371,64
1.5596002692998,371,65
1.90069829273349,371,66
2.26398895757024,371,67
2.5406001259545,371,68
2.66450089134907,371,69
2.67069822331165,371,70
2.56214090166798,371,71
2.59620665587314,371,72
2.96258856407703,371,73
3.52431227333788,371,74
4.04944119601705,371,75
4.60988622419252,371,76
5.38362898052977,371,77
6.20232343561669,371,78
6.94734150592872,371,79
7.406131176262,371,80
7.37173236084979,371,81
7.37173236084979,451,1
6.82905235007025,451,2
7.29468553126178,451,3
6.44499968968192,451,4
6.04488560685808,451,5
2.97200504710204,451,6
2.82001755313686,451,7
2.82470016107905,451,8
1.54857805744496,451,9
1.40607752275612,451,10
1.8729789107195,451,11
1.05870156323678,451,12
1.03243934446533,451,13
0.880856969093167,451,14
0.908956544615858,451,15
1.07425555618763,451,16
1.04362589082487,451,17
1.29051230137492,451,18
1.18044101928051,451,19
1.03827741957533,451,20
1.2033686052079,451,21
1.55007290151141,451,22
1.68744333238186,451,23
